id,name,state_or_territory,region,latitude,longitude,location_type,remoteness,coastal,sampling_weight
sydney,Sydney,NSW,Sydney,-33.8688,151.2093,city,metro,1,3
newcastle,Newcastle,NSW,Hunter,-32.9283,151.7817,city,metro,1,2
wollongong,Wollongong,NSW,Illawarra,-34.4278,150.8931,city,metro,1,2
katoomba,Katoomba,NSW,Blue Mountains,-33.7125,150.3119,town,regional,0,2
byron-bay,Byron Bay,NSW,North Coast,-28.6474,153.6020,town,regional,1,2
port-macquarie,Port Macquarie,NSW,North Coast,-31.4333,152.9000,city,regional,1,1
coffs-harbour,Coffs Harbour,NSW,North Coast,-30.2963,153.1135,city,regional,1,1
mudgee,Mudgee,NSW,Central West,-32.5893,149.5886,town,regional,0,1
orange,Orange,NSW,Central West,-33.2835,149.1010,city,regional,0,1
bathurst,Bathurst,NSW,Central West,-33.4193,149.5775,city,regional,0,1
dubbo,Dubbo,NSW,Central West,-32.2569,148.6011,city,regional,0,1
wagga-wagga,Wagga Wagga,NSW,Riverina,-35.1082,147.3598,city,regional,0,1
albury,Albury,NSW,Murray,-36.0737,146.9135,city,regional,0,1
armidale,Armidale,NSW,New England,-30.5115,151.6655,city,regional,0,1
tamworth,Tamworth,NSW,New England,-31.0905,150.9291,city,regional,0,1
jindabyne,Jindabyne,NSW,Snowy Mountains,-36.4149,148.6136,town,regional,0,1
huskisson,Huskisson,NSW,South Coast,-35.0389,150.6689,town,regional,1,1
broken-hill,Broken Hill,NSW,Outback NSW,-31.9530,141.4535,city,remote,0,1
lightning-ridge,Lightning Ridge,NSW,Outback NSW,-29.4260,147.9788,town,remote,0,1
melbourne,Melbourne,VIC,Melbourne,-37.8136,144.9631,city,metro,1,3
ballarat,Ballarat,VIC,Goldfields,-37.5622,143.8503,city,regional,0,1
bendigo,Bendigo,VIC,Goldfields,-36.7570,144.2794,city,regional,0,1
daylesford,Daylesford,VIC,Spa Country,-37.3440,144.1440,town,regional,0,1
apollo-bay,Apollo Bay,VIC,Great Ocean Road,-38.7546,143.6717,town,regional,1,1
warrnambool,Warrnambool,VIC,Great Ocean Road,-38.3818,142.4880,city,regional,1,1
cowes,Cowes (Phillip Island),VIC,Phillip Island,-38.4520,145.2380,town,regional,1,2
bright,Bright,VIC,High Country,-36.7297,146.9600,town,regional,0,1
echuca,Echuca,VIC,Murray,-36.1290,144.7520,town,regional,0,1
mildura,Mildura,VIC,Murray,-34.1855,142.1625,city,regional,0,1
halls-gap,Halls Gap,VIC,Grampians,-37.1380,142.5190,town,regional,0,1
lakes-entrance,Lakes Entrance,VIC,Gippsland,-37.8810,147.9810,town,regional,1,1
brisbane,Brisbane,QLD,Brisbane,-27.4698,153.0251,city,metro,1,3
gold-coast,Gold Coast,QLD,Gold Coast,-28.0167,153.4000,city,metro,1,2
noosa-heads,Noosa Heads,QLD,Sunshine Coast,-26.3980,153.0890,town,regional,1,2
toowoomba,Toowoomba,QLD,Darling Downs,-27.5606,151.9539,city,regional,0,1
hervey-bay,Hervey Bay,QLD,Fraser Coast,-25.2880,152.8410,city,regional,1,1
rockhampton,Rockhampton,QLD,Capricorn,-23.3781,150.5100,city,regional,1,1
airlie-beach,Airlie Beach,QLD,Whitsundays,-20.2675,148.7183,town,regional,1,2
townsville,Townsville,QLD,North Queensland,-19.2590,146.8169,city,regional,1,1
cairns,Cairns,QLD,Tropical North Queensland,-16.9186,145.7781,city,regional,1,2
port-douglas,Port Douglas,QLD,Tropical North Queensland,-16.4834,145.4650,town,regional,1,1
longreach,Longreach,QLD,Outback Queensland,-23.4422,144.2491,town,remote,0,1
mount-isa,Mount Isa,QLD,Outback Queensland,-20.7256,139.4927,city,remote,0,1
adelaide,Adelaide,SA,Adelaide,-34.9285,138.6007,city,metro,1,3
tanunda,Tanunda (Barossa Valley),SA,Barossa,-34.5230,138.9600,town,regional,0,2
mclaren-vale,McLaren Vale,SA,Fleurieu Peninsula,-35.2190,138.5440,town,regional,1,1
clare,Clare,SA,Clare Valley,-33.8330,138.6110,town,regional,0,1
victor-harbor,Victor Harbor,SA,Fleurieu Peninsula,-35.5500,138.6180,town,regional,1,1
kingscote,Kingscote (Kangaroo Island),SA,Kangaroo Island,-35.6550,137.6390,town,regional,1,1
mount-gambier,Mount Gambier,SA,Limestone Coast,-37.8290,140.7820,city,regional,1,1
port-lincoln,Port Lincoln,SA,Eyre Peninsula,-34.7260,135.8740,city,regional,1,1
coober-pedy,Coober Pedy,SA,Outback SA,-29.0135,134.7540,town,remote,0,1
wilpena,Wilpena (Flinders Ranges),SA,Flinders Ranges,-31.5270,138.5950,region,remote,0,1
perth,Perth,WA,Perth,-31.9523,115.8613,city,metro,1,3
fremantle,Fremantle,WA,Perth,-32.0560,115.7440,city,metro,1,1
margaret-river,Margaret River,WA,South West,-33.9530,115.0730,town,regional,1,2
albany,Albany,WA,Great Southern,-35.0230,117.8810,city,regional,1,1
esperance,Esperance,WA,Golden Outback,-33.8610,121.8910,town,remote,1,1
kalgoorlie,Kalgoorlie,WA,Golden Outback,-30.7490,121.4660,city,remote,0,1
geraldton,Geraldton,WA,Coral Coast,-28.7740,114.6140,city,regional,1,1
exmouth,Exmouth,WA,Coral Coast,-21.9310,114.1280,town,remote,1,1
broome,Broome,WA,Kimberley,-17.9614,122.2359,town,remote,1,2
kununurra,Kununurra,WA,Kimberley,-15.7740,128.7390,town,remote,0,1
hobart,Hobart,TAS,Hobart and South,-42.8821,147.3272,city,metro,1,2
launceston,Launceston,TAS,Launceston and North,-41.4332,147.1441,city,regional,0,1
cradle-mountain,Cradle Mountain,TAS,North West,-41.6430,145.9380,region,regional,0,1
coles-bay,Coles Bay (Freycinet),TAS,East Coast,-42.1220,148.2880,town,regional,1,1
strahan,Strahan,TAS,West Coast,-42.1530,145.3280,town,remote,1,1
stanley,Stanley,TAS,North West,-40.7710,145.2950,town,regional,1,1
darwin,Darwin,NT,Top End,-12.4634,130.8456,city,metro,1,2
katherine,Katherine,NT,Katherine and Surrounds,-14.4650,132.2635,town,remote,0,1
jabiru,Jabiru (Kakadu),NT,Kakadu and Arnhem,-12.6710,132.8360,town,remote,0,1
alice-springs,Alice Springs,NT,Red Centre,-23.6980,133.8807,town,remote,0,2
yulara,Yulara (Uluru),NT,Red Centre,-25.2400,130.9890,town,remote,0,2
tennant-creek,Tennant Creek,NT,Barkly,-19.6490,134.1890,town,remote,0,1
canberra,Canberra,ACT,Canberra,-35.2809,149.1300,city,metro,0,2
